Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
New cases of PW with hypertension detected,2019-2020,march,43782,40317,3465,8866,34916,24,24,,0,24,1174,1174,0,250,924,88,88,0,0,88,1354,1277,77,57,1297,1706,1689,17,122,1584,149,149,,22,127,969,888,81,120,849,18,18,,0,18,5,5,0,0,5,1394,1285,109,245,1149,53,51,2,1,52,1275,1194,81,187,1088,684,676,8,41,643,191,190,1,0,191,1172,1093,79,105,1067,771,733,38,43,728,3512,2627,885,1097,2415,1160,399,761,239,921,4,4,,,4,,,,,,,,,,,4006,3722,284,776,3230,2562,2198,364,582,1980,17,7,10,11,6,346,317,29,6,340,24,24,0,2,22,68,51,17,17,51,780,755,25,44,736,46,45,1,5,41,522,521,1,118,404,2464,1999,465,1626,838,24,24,,4,20,3418,3418,,1030,2388,1645,1633,12,519,1126,98,98,0,1,97,7458,7399,59,359,7099,182,179,3,39,143,4419,4363,56,1198,3221
"Out of the new cases of PW with hypertension detected, cases managed at institution",2019-2020,march,45395,43080,2315,5802,39593,20,20,,0,20,923,923,0,117,806,16,16,0,0,16,880,828,52,33,847,1111,1094,17,66,1045,153,153,,19,134,863,785,78,106,757,18,18,,0,18,5,5,0,0,5,841,773,68,131,710,53,51,2,1,52,867,786,81,84,783,552,544,8,60,492,146,145,1,0,146,1061,1029,32,58,1003,572,549,23,24,548,2396,1936,460,502,1894,707,226,481,222,485,4,4,,,4,,,,,,,,,,,2889,2624,265,553,2336,2070,1724,346,442,1628,16,6,10,11,5,289,267,22,3,286,17,17,0,2,15,47,46,1,1,46,454,430,24,31,423,40,39,1,1,39,345,344,1,95,250,17054,16793,261,1047,16007,15,15,,4,11,2599,2599,,744,1855,1176,1176,0,387,789,76,76,0,0,76,4367,4339,28,131,4236,139,136,3,14,125,2614,2564,50,913,1701
Number of Eclampsia cases managed during delivery,2019-2020,march,4281,4026,255,888,3393,0,0,,0,0,131,131,0,20,111,2,2,0,0,2,111,98,13,2,109,203,194,9,4,199,3,3,,0,3,95,92,3,1,94,5,5,,0,5,0,0,0,0,0,59,56,3,2,57,6,6,0,0,6,207,207,0,7,200,60,28,32,33,27,15,15,0,0,15,68,67,1,1,67,147,147,0,0,147,217,186,31,40,177,28,9,19,5,23,0,0,,,0,,,,,,,,,,,462,393,69,129,333,439,413,26,65,374,0,0,0,0,0,17,3,14,0,17,0,0,0,0,0,6,1,5,5,1,157,152,5,2,155,5,5,0,0,5,31,31,0,1,30,497,478,19,374,123,0,0,,0,0,161,161,,41,120,126,126,0,12,114,26,26,0,0,26,437,431,6,14,423,10,10,0,2,8,550,550,0,128,422
Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,2019-2020,march,1914166,1858044,56122,272568,1641598,506,506,,40,466,61858,61587,271,7432,54426,747,629,118,33,714,44655,43639,1016,1286,43369,138816,138816,0,11291,127525,2547,2547,,1468,1079,56387,54755,1632,8224,48163,519,519,,136,383,430,430,0,128,302,14878,13441,1437,5937,8941,1225,1115,110,125,1100,107978,106830,1148,25095,82883,31185,31185,0,5804,25381,7435,7406,29,9,7426,24883,24043,840,2036,22847,52178,47780,4398,3470,48708,89782,84628,5154,16454,73328,13728,7743,5985,2251,11477,130,130,,,130,,,,,,,,,,,135820,130995,4825,20654,115166,148852,139061,9791,32956,115896,471,374,97,32,439,2662,2614,48,54,2608,692,681,11,239,453,312,174,138,92,220,49068,48819,249,3259,45809,521,513,8,313,208,26576,26566,10,6384,20192,52847,51998,849,8316,44531,501,501,,0,501,187146,187146,,51412,135734,56608,56473,135,16807,39801,2311,2311,0,81,2230,487786,470206,17580,34990,452796,10975,10895,80,2453,8522,101151,100988,163,3307,97844
Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),2019-2020,march,1595450,1564287,31163,245902,1349548,431,431,,23,408,42716,42703,13,3045,39671,903,878,25,29,874,37384,35881,1503,1465,35919,92062,91930,132,8116,83946,1073,1073,,607,466,48129,46930,1199,4394,43735,444,444,,39,405,211,211,0,20,191,13728,12699,1029,8485,5243,300,285,15,3,297,79275,78855,420,12741,66534,41676,41676,0,7602,34074,7809,7796,13,18,7791,26460,25944,516,1578,24882,38382,37118,1264,1336,37046,81432,76553,4879,15861,65571,10255,5591,4664,747,9508,74,74,,,74,,,,,,,,,,,114509,111382,3127,17309,97200,135638,129566,6072,34675,100963,350,271,79,8,342,6930,6716,214,104,6826,1277,1249,28,198,1079,828,662,166,162,666,37641,37313,328,2172,35469,1874,1872,2,951,923,30152,30144,8,5798,24354,91324,87853,3471,14931,76393,148,148,,5,143,209791,209791,,59163,150628,52966,52841,125,13168,39798,2440,2431,9,207,2233,303029,301514,1515,18582,284447,9341,9334,7,2045,7296,74468,74128,340,10315,64153
Number of PW having Hb level<7 (tested cases),2019-2020,march,77378,73842,3536,12601,64777,7,7,,0,7,766,766,0,95,671,47,43,4,0,47,1076,1022,54,41,1035,3411,3301,110,238,3173,32,32,,23,9,1028,970,58,55,973,16,16,,0,16,19,19,0,1,18,1099,985,114,355,744,23,23,0,0,23,4785,4748,37,353,4432,3001,3001,0,221,2780,80,79,1,0,80,4445,4426,19,31,4414,1079,951,128,37,1042,3780,3424,356,582,3198,209,108,101,15,194,3,3,,,3,,,,,,,,,,,6968,6530,438,1347,5621,5556,4936,620,1343,4213,5,5,0,0,5,407,223,184,1,406,12,12,0,1,11,17,10,7,7,10,893,831,62,32,861,70,63,7,58,12,781,779,2,168,613,5614,4534,1080,2989,2625,3,3,,0,3,6192,6192,,1784,4408,3834,3822,12,1403,2431,74,74,0,0,74,21022,20900,122,929,20093,189,189,0,90,99,835,815,20,402,433
Number of PW having severe anaemia (Hb<7) treated,2019-2020,march,44545,42201,2344,7426,37119,5,5,,0,5,702,702,0,209,493,30,30,0,0,30,739,690,49,20,719,1548,1438,110,129,1419,31,31,,22,9,817,758,59,45,772,15,15,,0,15,18,18,0,1,17,977,935,42,225,752,22,22,0,0,22,4172,4090,82,438,3734,1850,1850,0,129,1721,13,13,0,0,13,2676,2669,7,19,2657,676,563,113,23,653,2598,2390,208,393,2205,187,109,78,32,155,2,2,,,2,,,,,,,,,,,3935,3624,311,967,2968,4923,4307,616,1186,3737,3,3,0,0,3,165,120,45,1,164,8,8,0,0,8,10,6,4,4,6,831,770,61,21,810,61,54,7,54,7,577,575,2,86,491,3053,2628,425,1272,1781,0,0,,0,0,2383,2383,,747,1636,1686,1678,8,636,1050,64,64,0,0,64,9032,8931,101,324,8708,121,121,0,71,50,615,599,16,372,243
Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),2019-2020,march,341343,321114,20229,73020,268323,300,300,,39,261,3781,3781,0,52,3729,820,711,109,0,820,1429,1306,123,16,1413,6024,6024,0,299,5725,1155,1155,,757,398,7534,6120,1414,1642,5892,38,38,,0,38,65,65,0,61,4,9513,8840,673,2980,6533,1782,1529,253,215,1567,9675,9605,70,2709,6966,8872,8789,83,2126,6746,5309,5277,32,0,5309,7881,7828,53,846,7035,6830,4928,1902,2287,4543,20322,15806,4516,7249,13073,9705,5390,4315,1919,7786,64,64,,,64,,,,,,,,,,,7541,7256,285,1766,5775,21248,15831,5417,7670,13578,222,199,23,4,218,1059,759,300,0,1059,230,215,15,23,207,99,96,3,4,95,8764,8657,107,734,8030,783,775,8,439,344,1145,1112,33,252,893,12895,12823,72,2498,10397,16,16,,0,16,101441,101441,,26047,75394,4917,4917,0,1325,3592,109,109,,0,109,48264,48254,10,4125,44139,741,726,15,212,529,30770,30372,398,4724,26046
Number of PW tested positive for GDM,2019-2020,march,9398,8031,1367,3211,6187,7,7,,0,7,131,131,0,8,123,2,0,2,0,2,546,544,2,0,546,16,16,0,0,16,42,42,,18,24,253,187,66,103,150,1,1,,0,1,0,0,0,0,0,698,592,106,200,498,95,95,0,0,95,107,104,3,11,96,129,129,0,15,114,93,93,0,0,93,212,153,59,65,147,74,74,0,2,72,604,351,253,219,385,833,335,498,149,684,8,8,,,8,,,,,,,,,,,1648,1618,30,1196,452,410,172,238,75,335,3,3,0,0,3,42,18,24,0,42,6,6,0,0,6,3,3,0,0,3,62,44,18,4,58,7,7,0,0,7,49,49,0,2,47,99,93,6,30,69,0,0,,0,0,2232,2232,,717,1515,20,20,0,6,14,0,0,,0,0,593,593,0,32,561,0,0,0,0,0,373,311,62,359,14
Number of PW given insulin out of total tested positive for GDM,2019-2020,march,2397,1658,739,550,1847,4,4,,0,4,96,96,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,,0,12,12,0,12,12,0,1,1,,0,1,0,0,0,0,0,152,112,40,22,130,15,15,0,0,15,41,41,0,3,38,5,5,0,0,5,1,1,0,0,1,5,4,1,2,3,2,2,0,0,2,269,172,97,60,209,478,161,317,59,419,4,4,,,4,,,,,,,,,,,32,5,27,27,5,220,47,173,35,185,0,0,0,0,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,17,2,15,0,17,0,0,0,0,0,1,1,0,0,1,26,20,6,26,0,0,0,,0,0,897,897,,249,648,8,8,0,0,8,0,0,,0,0,28,28,0,2,26,0,0,0,0,0,68,19,49,52,16
Number of PW tested using POC test for Syphilis,2019-2020,march,172153,172136,17,646,171507,31,31,,,31,823,823,,70,753,6,6,,0,6,214,197,17,120,94,83,83,,2,81,,,,,,137,137,,24,113,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,513,513,,6,507,317,317,,20,297,40,40,,0,40,8,8,,8,0,10766,10766,,135,10631,347,347,,0,347,7,7,,0,7,0,0,,,0,,,,,,,,,,,1119,1119,,221,898,1042,1042,,0,1042,3,3,,,3,0,0,0,,0,81,81,,0,81,115,115,,1,114,5984,5984,,,5984,35,35,,3,32,161,161,,36,125,3306,3306,,0,3306,0,0,,0,0,0,0,,,0,139,139,,0,139,0,0,,,0,85690,85690,,,85690,177,177,,,177,61009,61009,,0,61009
"Out of above, number of PW found sero positive for syphilis",2019-2020,march,1248,1248,0,3,1245,1,1,,,1,37,37,,0,37,0,0,,0,0,0,0,0,0,0,11,11,,2,9,,,,,,7,7,,0,7,0,0,,,0,0,0,,0,0,0,0,,0,0,0,0,,,0,2,2,,0,2,1,1,,0,1,0,0,,0,0,0,0,,0,0,60,60,,0,60,18,18,,0,18,5,5,,0,5,0,0,,,0,,,,,,,,,,,23,23,,1,22,10,10,,0,10,0,0,,,0,0,0,0,,0,0,0,,0,0,1,1,,0,1,3,3,,,3,7,7,,0,7,0,0,,0,0,15,15,,0,15,0,0,,0,0,0,0,,,0,16,16,,0,16,0,0,,,0,895,895,,,895,0,0,,,0,136,136,,0,136
